propertyCode;properties.name;properties.name_distancia
105468490;Institut Josep Serrat i Bonastre;199.81885257481275
105652061;Col·legi Maristes la Immaculada;85.58291953683354
105487499;CFA Barceloneta;358.5890820391035
104354126;Sant Francesc d'Assís;199.59989696158166
104487040;Escola Superior d'Hosteleria de Barcelona;380.55652890598867
100431350;Santa Teresa de Jesús;377.2262770162725
104210713;Escola Bogatell;92.59990020050448
105648388;La Salle Comtal;367.46891591500525
105391850;Jesuïtes Casp - Sagrat Cor de Jesús;412.8119971230328
103607591;Shalom;327.77216578794844
104799962;Dominiques Barcelona;36.38626687519604
100001778;Escola Cintra;107.51859732751632
99625804;Sant Francesc d'Assís;310.70591043975475
105157266;Virolai Petit;254.64459264029642
105163164;Institut La Sedeta;59.418759877484106
105485366;Escola Ángel Baixeiras;274.0598216730979
101337290;La Salle Barceloneta;89.31301956657975
103564660;Escola Sagrat Cor;164.55064442923876
105152619;Escola Baldiri Reixac;270.4305464952514
105245464;Escola Súnion;148.8447254149062
105203209;Institut Icària;114.75017748164235
104732196;Escola Antoni Balmanya;160.25569257993288
104216381;Escola Sagrada Família;96.20835286593153
105108601;Institut Escola el Molí;241.2440139755771
99168745;Shalom;160.05035306530004
97412987;Escola Tècnico-Professional Xavier;216.95656258391574
105426273;Som-hi dansa;123.71766706712438
104799973;Col·legi Maristes la Immaculada;12.099248547696725
105652128;Dominiques Barcelona;63.841350190148816
103843759;Institut Manuel Carrasco i Formiguera;214.21395109217005
104166840;Salesià de Sant Josep;331.2604428381289
104734103;Jesuïtes Casp - Sagrat Cor de Jesús;122.98712589813051
87309773;Centre Educatiu Grèvol;556.8234307343623
103425417;Escola Tècnico-Professional Xavier;68.81876440246927
103043248;Institut Escola Costa i Llobera;380.57800815960525
98956576;Escola Josep Maria Jujol;192.48203601496843
104849787;Institut de Nàutica de Barcelona;1089.264113366949
104961844;Escola Augusta;326.08521342132303
104760993;Escola Sagrada Família;93.81598233249257
104353953;Col·legi Maristes la Immaculada;188.0296532343419
103884640;Institut Fort Pius;290.3675650817742
104353875;Col·legi Maristes la Immaculada;188.0296532343419
105382173;Institut Escola Elisabets;405.1382427683539
102227080;Col·legi Padre Damián Sagrados Corazones;227.07583838385347
105623804;La Salle Comtal;271.81676037727635
105951524;La Salle Barceloneta;34.62474912214661
105960855;Escola Lavínia;407.3843180679478
105580168;Sant Josep Oriol;165.44794929162262
104354018;Col·legi Maristes la Immaculada;188.0296532343419
101506601;Prat;89.62130645089104
104353868;Col·legi Maristes la Immaculada;188.0296532343419
100686077;Escola Ramon Llull;276.78562830266185
101976766;La Farigola de Vallcarca;104.1651870669883
104565607;Institut Escola Elisabets;31.48343718965034
