propertyCode;Teatro ;Teatro _distancia
105304637;L'Autentica Teatre;1293.3272257869894
105650625;Barcelona Teatre Musical;29.48220201233954
103490003;Taller Masriera;465.9527977872535
105160370;Taller Masriera;491.3909100911694
105581227;Teatro de los sentidos;1124.9432616745655
104681260;sala Ovidi Montllor;334.2744163417068
105353246;Centre Artesa Tradicionarius;262.39921309178936
104973737;La Villarroel;321.34698169115245
102830991;La Gleva;2172.09440190025
105511136;La Gleva;385.0775865529719
105870897;Aquitania;467.22964497616505
105866491;Aquitania;433.64868518461674
105447994;La Casa de los Contos;80.83621110005146
103368494;Centre Parroquial de Sant Vicenç de Sarrià;2244.3876225624185
105161147;Sant Andreu Teatre;1278.1048804855236
105492375;El Molino;161.06927550604397
105014103;L'Autentica Teatre;2083.4055816293926
105409646;Teatre del Raval;254.0108080181591
105958262;Espai Piluso;153.75275699216522
104611552;Golem's;685.3571509821579
105100317;Casino l'Aliança del Poblenou;1196.3109050226046
105151666;Sala FlyHard;108.2555839023674
104152522;Palau Dalmases;163.28574121485113
105469059;La Villarroel;597.7664315698788
104219328;Sant Andreu Teatre;407.6739553158926
103884663;;105.94123398682014
104870225;Teatre Borràs;177.9884141467629
