properties.name;properties.route_ref;latitude;longitude
Hospital Esperit Sant;B2 B5 B14 B24 B30 B81 B30 N2;2.2138246;41.4377501
Ctra. de Sta. Coloma - Madrid;B14 B20 B21 M30 N2 N6;2.2143171;41.4354923
Escola Pere de Tera;;2.2143297;41.4403166
HP;;2.0633961;41.4905475
HP;;2.0636321;41.4903948
Pl. Consolat de Mar;;1.7214126;41.2156332
Pg. Marítim - Gas;;1.73091;41.2159772
Martí Torrents;;1.7347103;41.2177183
Pg. Marítim - Canàríes;;1.7336021;41.2166851
Av. Rocacrespa - Av. Sis Camins;;1.6978592;41.2243314
Pare Garí - Av. Francesc Macià;;1.7212394;41.2229406
Sant Isidre / Camí del Cementiri;345;2.1754373;41.5343546
Av. Santiga - Amadeu Vives;345;2.179395;41.5367496
Avinguda de Jacint Verdaguer / Rambla;345;2.1837026;41.5352933
Av. 3 - C. 14 - Estació de rodalies Sta Perpètua;;2.1943981;41.5203292
Sant Antoni de Llefià - Dr. Bassols;B23 B24 N2;2.21941;41.4417291
Màgic Badalona;;2.2300222;41.4440308
Sant Mori - Dr. Bassols;B2 B23 B24 N2;2.2225329;41.4407092
La Salut / Congrés;B25 B30 B26 B4 H10 N11;2.228317;41.4393449
;;2.1843862;41.5311988
Ctra. N-II - Càmping El Carlitos;L1561;2.5685077;41.5840448
Plaça Central;;2.1930911;41.5216584
Av Mossèn Joaquim Castellví - Rbla Països Catalans;96 103 155 N3;2.1882348;41.4875136
Pl. dels Pins;;2.0363486;41.4688477
Parada de Av Josep Crous;;2.3540699;41.6931042
Carme Galceran - Cristòfol Colom;;2.0228539;41.4093731
Extremadura - Pl. Clementina Arderiu;B21 B25 V33 60;2.2113402;41.4225368
Camí Ral - IES Begues;902a 902b 902c;1.9049935;41.3353272
Sardana - C. de l'Escala;;1.8282175;41.2409167
Roc Florit - Malvasia;;1.8287649;41.2412495
Passeig de l'Espigol - Passeig Fonoll;;1.8225416;41.2495256
Cementiri;;1.8141211;41.2506607
Hospital Can Ruti;B24;2.2386214;41.4828468
Forat del Vent;A7;2.1404978;41.4471653
;;1.8745895;42.0464659
;;1.8748315;42.0465325
Ctra. C-16a - Colònia Rosal;476;1.8701114;42.0714733
Ctra. C-16a - Colònia Rosal;476;1.8702835;42.0713574
Can Sagrera;JM;2.0731517;41.3868896
Can Candeler - Salut;JT;2.0780194;41.388902
Pl Sardana - Av Cornellà;EP1;2.0834775;41.3720589
Riera Blanca - Onze de Setembre;175;2.1215487;41.3772256
Sant Martí de l'Erm - Mestre Manuel de Falla;L77 X30 L21;2.0772612;41.375597
Rotonda de les Palmeres;;2.4066614;41.5509846
;;2.4040359;41.5529102
Rambla - Estació;GA1 L80 L96 L97 L99 X80 X83 M5 GA2 N16 N19 902a 902b 902c;2.0092989;41.3044207
Rambla - Estació;GA1 L80 L96 L97 L99 M5 E98 X80 X83 GA2 N16 N19 902a 902b 902c;2.0089393;41.3039248
;;1.9127577;41.4733993
Can Jofresa;;2.0194512;41.5490705
Can Jofresa;;2.0187043;41.5495229
Escola Oficial d'Idiomes;;2.0178644;41.5491278
Pavelló;;2.0216447;41.5483136
Badalona;;2.0169874;41.5504924
CAP Sud;;2.0218793;41.5506424
CAP Sud;;2.0225522;41.5508713
